timestamp, package
 2017.09.05_21.22.09.009, com.lge.signboard
 2017.09.05_21.22.14.423, com.kakao.talk
 2017.09.05_21.22.30.262, com.nhn.android.search
 2017.09.05_21.22.34.184, com.lge.launcher2
 2017.09.05_21.22.35.802, com.kakao.talk
 2017.09.05_21.22.46.010, com.lge.signboard
 2017.09.05_21.23.13.720, com.kakao.talk
 2017.09.05_21.23.18.949, com.lge.signboard
 2017.09.05_21.23.19.332, com.kakao.talk
 2017.09.05_21.23.21.225, com.lge.launcher2
 2017.09.05_21.23.22.904, com.facebook.katana
 2017.09.05_21.23.54.022, com.lge.signboard
 2017.09.05_21.23.55.947, com.facebook.katana
 2017.09.05_21.24.01.114, com.lge.signboard
 2017.09.05_21.24.48.101, com.kakao.talk
 2017.09.05_21.24.51.122, com.lge.signboard
 2017.09.05_21.24.51.633, com.kakao.talk
 2017.09.05_21.26.06.117, com.lge.signboard
 2017.09.05_21.27.15.484, com.kakao.talk
 2017.09.05_21.27.21.783, com.lge.signboard
 2017.09.05_21.27.22.369, com.kakao.talk
 2017.09.05_21.27.34.875, com.lge.signboard
 2017.09.05_21.27.41.409, com.kakao.talk
 2017.09.05_21.27.41.917, com.lge.signboard
 2017.09.05_21.27.42.469, com.kakao.talk
 2017.09.05_21.27.51.206, com.lge.signboard
 2017.09.05_21.28.01.294, com.kakao.talk
 2017.09.05_21.29.09.866, com.lge.signboard
 2017.09.05_21.29.10.450, com.kakao.talk
 2017.09.05_21.29.45.838, com.lge.signboard
 2017.09.05_21.29.52.551, com.kakao.talk
 2017.09.05_21.30.13.799, com.lge.signboard
 2017.09.05_21.30.17.858, com.kakao.talk
 2017.09.05_21.31.14.095, com.lge.signboard
 2017.09.05_21.36.01.026, com.kakao.talk
 2017.09.05_21.37.34.000, com.lge.signboard
 2017.09.05_21.38.25.948, com.kakao.talk
 2017.09.05_21.38.57.410, com.facebook.katana
 2017.09.05_21.39.11.822, com.lge.launcher2
 2017.09.05_21.39.12.114, com.lge.signboard
 2017.09.05_21.39.48.036, com.kakao.talk
 2017.09.05_21.40.00.533, com.lge.signboard
 2017.09.05_21.40.10.843, com.kakao.talk
 2017.09.05_21.40.35.768, com.lge.signboard
 2017.09.05_21.41.04.283, com.kakao.talk
 2017.09.05_21.41.11.916, com.lge.ime
 2017.09.05_21.41.12.761, com.kakao.talk
 2017.09.05_21.41.40.395, com.lge.signboard
 2017.09.05_21.41.41.730, com.kakao.talk
 2017.09.05_21.42.00.600, com.lge.signboard
 2017.09.05_21.42.03.318, com.kakao.talk
 2017.09.05_21.42.36.323, com.lge.signboard
 2017.09.05_21.42.36.819, com.kakao.talk
 2017.09.05_21.43.16.650, com.lge.launcher2
 2017.09.05_21.43.20.826, com.Slack
 2017.09.05_21.43.27.292, com.android.systemui
 2017.09.05_21.43.28.504, com.Slack
